ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-03-01,22687.01468607145,21587.39560802819,23002.061998520727,22687.01468607145,22687.01468607145,-371.3817243438065,-371.3817243438065,-371.3817243438065,119.50192119449976,119.50192119449976,119.50192119449976,-490.8836455383063,-490.8836455383063,-490.8836455383063,0.0,0.0,0.0,22315.632961727642
2024-03-04,22698.84995186435,21491.497407726132,22979.928468296912,22698.84995186435,22698.84995186435,-446.7261956342645,-446.7261956342645,-446.7261956342645,128.19211995622396,128.19211995622396,128.19211995622396,-574.9183155904885,-574.9183155904885,-574.9183155904885,0.0,0.0,0.0,22252.12375623009
2024-03-05,22702.795040461984,21480.3967335664,22976.01744049302,22702.795040461984,22702.795040461984,-470.2364501348988,-470.2364501348988,-470.2364501348988,131.1908959686835,131.1908959686835,131.1908959686835,-601.4273461035823,-601.4273461035823,-601.4273461035823,0.0,0.0,0.0,22232.558590327084
2024-03-06,22706.740129059617,21530.785821253856,22924.171821704862,22706.740129059617,22706.740129059617,-496.4131453368637,-496.4131453368637,-496.4131453368637,130.4085106663555,130.4085106663555,130.4085106663555,-626.8216560032192,-626.8216560032192,-626.8216560032192,0.0,0.0,0.0,22210.326983722753
2024-03-07,22710.68521765725,21457.848139937752,22880.784888692153,22710.68521765725,22710.68521765725,-518.7394415906138,-518.7394415906138,-518.7394415906138,132.1674676126588,132.1674676126588,132.1674676126588,-650.9069092032726,-650.9069092032726,-650.9069092032726,0.0,0.0,0.0,22191.945776066637
2024-03-11,22726.465572047786,21388.46459958091,22792.152651708693,22726.465572047786,22726.465572047786,-602.8021568189089,-602.8021568189089,-602.8021568189089,128.1921199565425,128.1921199565425,128.1921199565425,-730.9942767754515,-730.9942767754515,-730.9942767754515,0.0,0.0,0.0,22123.663415228875
2024-03-12,22730.41066064542,21436.222447446155,22835.04056165135,22730.41066064542,22730.41066064542,-615.1721266197177,-615.1721266197177,-615.1721266197177,131.1908959690747,131.1908959690747,131.1908959690747,-746.3630225887924,-746.3630225887924,-746.3630225887924,0.0,0.0,0.0,22115.238534025702
2024-03-13,22734.355749243055,21291.934494081193,22809.330874452615,22734.355749243055,22734.355749243055,-629.3100634027904,-629.3100634027904,-629.3100634027904,130.40851066599888,130.40851066599888,130.40851066599888,-759.7185740687893,-759.7185740687893,-759.7185740687893,0.0,0.0,0.0,22105.045685840265
2024-03-14,22738.30083784069,21350.866312874216,22813.91827228196,22738.30083784069,22738.30083784069,-638.8590112944581,-638.8590112944581,-638.8590112944581,132.1674676126368,132.1674676126368,132.1674676126368,-771.026478907095,-771.026478907095,-771.026478907095,0.0,0.0,0.0,22099.44182654623
2024-03-15,22742.245926438325,21354.8331842583,22814.52415591863,22742.245926438325,22742.245926438325,-660.7727330850876,-660.7727330850876,-660.7727330850876,119.50192119386674,119.50192119386674,119.50192119386674,-780.2746542789542,-780.2746542789542,-780.2746542789542,0.0,0.0,0.0,22081.47319335324
