ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-04-28,24355.787162870547,23325.986360391627,24743.318083176506,24355.787162870547,24355.787162870547,-313.86713305648493,-313.86713305648493,-313.86713305648493,128.19211995590382,128.19211995590382,128.19211995590382,-442.05925301238875,-442.05925301238875,-442.05925301238875,0.0,0.0,0.0,24041.92002981406
2025-04-29,24359.732251468184,23252.707457858156,24792.708666161947,24359.732251468184,24359.732251468184,-314.98714089344486,-314.98714089344486,-314.98714089344486,131.19089596897464,131.19089596897464,131.19089596897464,-446.1780368624195,-446.1780368624195,-446.1780368624195,0.0,0.0,0.0,24044.74511057474
2025-04-30,24363.67734006582,23349.56776092597,24763.533035640034,24363.67734006582,24363.67734006582,-320.3615039552678,-320.3615039552678,-320.3615039552678,130.40851066613794,130.40851066613794,130.40851066613794,-450.7700146214058,-450.7700146214058,-450.7700146214058,0.0,0.0,0.0,24043.315836110552
2025-05-02,24371.567517261086,23284.561943655197,24761.753099261747,24371.567517261086,24371.567517261086,-341.1210848159033,-341.1210848159033,-341.1210848159033,119.50192119436734,119.50192119436734,119.50192119436734,-460.6230060102706,-460.6230060102706,-460.6230060102706,0.0,0.0,0.0,24030.446432445184
2025-05-05,24383.402783053985,23337.794226887916,24741.538842879858,24383.402783053985,24383.402783053985,-345.8408419976297,-345.8408419976297,-345.8408419976297,128.1921199562224,128.1921199562224,128.1921199562224,-474.0329619538521,-474.0329619538521,-474.0329619538521,0.0,0.0,0.0,24037.561941056356
2025-05-06,24387.347871651622,23283.011481927213,24736.827590087625,24387.347871651622,24387.347871651622,-346.11775658853804,-346.11775658853804,-346.11775658853804,131.19089596870995,131.19089596870995,131.19089596870995,-477.30865255724797,-477.30865255724797,-477.30865255724797,0.0,0.0,0.0,24041.230115063085
2025-05-07,24391.292960249255,23292.7452438643,24777.58163424628,24391.292960249255,24391.292960249255,-349.2451659901425,-349.2451659901425,-349.2451659901425,130.40851066578128,130.40851066578128,130.40851066578128,-479.6536766559238,-479.6536766559238,-479.6536766559238,0.0,0.0,0.0,24042.047794259113
2025-05-08,24395.238048846888,23342.20166601911,24765.306263771745,24395.238048846888,24395.238048846888,-348.7168470379746,-348.7168470379746,-348.7168470379746,132.167467612715,132.167467612715,132.167467612715,-480.88431465068965,-480.88431465068965,-480.88431465068965,0.0,0.0,0.0,24046.521201808915
2025-05-09,24399.18313744452,23335.30983532863,24759.52466433793,24399.18313744452,24399.18313744452,-361.3316926522223,-361.3316926522223,-361.3316926522223,119.50192119403793,119.50192119403793,119.50192119403793,-480.83361384626016,-480.83361384626016,-480.83361384626016,0.0,0.0,0.0,24037.851444792297
2025-05-12,24411.018403237424,23365.463583038352,24721.08116009621,24411.018403237424,24411.018403237424,-343.46211218553043,-343.46211218553043,-343.46211218553043,128.19211995654095,128.19211995654095,128.19211995654095,-471.6542321420714,-471.6542321420714,-471.6542321420714,0.0,0.0,0.0,24067.556291051893
2025-05-13,24414.963491835057,23369.084058687073,24814.61650577147,24414.963491835057,24414.963491835057,-334.08053688468283,-334.08053688468283,-334.08053688468283,131.19089596910115,131.19089596910115,131.19089596910115,-465.271432853784,-465.271432853784,-465.271432853784,0.0,0.0,0.0,24080.882954950375
2025-05-14,24418.90858043269,23356.472317921147,24808.387385775524,24418.90858043269,24418.90858043269,-326.7366503180243,-326.7366503180243,-326.7366503180243,130.4085106659621,130.4085106659621,130.4085106659621,-457.1451609839864,-457.1451609839864,-457.1451609839864,0.0,0.0,0.0,24092.171930114666
2025-05-15,24422.853669030323,23394.64640354563,24848.7180773122,24422.853669030323,24422.853669030323,-315.1072421815735,-315.1072421815735,-315.1072421815735,132.16746761300556,132.16746761300556,132.16746761300556,-447.27470979457905,-447.27470979457905,-447.27470979457905,0.0,0.0,0.0,24107.74642684875
2025-05-16,24426.798757627956,23357.210160150134,24824.234885869522,24426.798757627956,24426.798757627956,-316.1907789430001,-316.1907789430001,-316.1907789430001,119.5019211937343,119.5019211937343,119.5019211937343,-435.6927001367344,-435.6927001367344,-435.6927001367344,0.0,0.0,0.0,24110.607978684955
2025-05-19,24438.63402342086,23510.213295290163,24938.901198348918,24438.63402342086,24438.63402342086,-263.3001079069302,-263.3001079069302,-263.3001079069302,128.19211995591283,128.19211995591283,128.19211995591283,-391.49222786284304,-391.49222786284304,-391.49222786284304,0.0,0.0,0.0,24175.33391551393
2025-05-20,24442.579112018495,23486.743838921353,24914.455422731688,24442.579112018495,24442.579112018495,-242.84006512127905,-242.84006512127905,-242.84006512127905,131.19089596881608,131.19089596881608,131.19089596881608,-374.03096109009516,-374.03096109009516,-374.03096109009516,0.0,0.0,0.0,24199.739046897215
2025-05-21,24446.524200616128,23515.060234796,24967.183803376058,24446.524200616128,24446.524200616128,-225.07637528278798,-225.07637528278798,-225.07637528278798,130.40851066560546,130.40851066560546,130.40851066560546,-355.4848859483934,-355.4848859483934,-355.4848859483934,0.0,0.0,0.0,24221.44782533334
